chembl_id,assay_type,molregno_num,confidence_score
CHEMBL615557,B,71,0
CHEMBL621004,F,114,0
CHEMBL618310,A,120,0
CHEMBL858280,P,34,0
CHEMBL623452,A,33,0
CHEMBL624569,A,120,0
CHEMBL618471,A,113,0
CHEMBL622288,P,41,0
CHEMBL625503,P,36,0
CHEMBL625505,P,87,0
CHEMBL625509,P,38,0
CHEMBL625511,P,34,0
CHEMBL631234,P,34,0
CHEMBL631421,P,52,0
CHEMBL626613,A,36,0
CHEMBL628462,B,54,0
CHEMBL625667,B,54,0
CHEMBL625039,P,38,0
CHEMBL624139,P,34,0
CHEMBL624145,P,79,0
CHEMBL624146,P,37,0
CHEMBL622140,P,33,0
CHEMBL622145,P,33,0
CHEMBL632070,A,104,0
CHEMBL629032,P,38,0
CHEMBL628290,P,76,0
CHEMBL630220,P,55,0
CHEMBL631962,P,148,0
CHEMBL631965,A,68,0
CHEMBL631376,P,36,0
CHEMBL631377,P,90,0
CHEMBL631378,A,39,0
CHEMBL630099,P,48,0
CHEMBL634672,P,74,0
CHEMBL634679,P,59,0
CHEMBL629381,P,57,0
CHEMBL629245,P,37,0
CHEMBL631937,A,33,0
CHEMBL630617,A,33,0
CHEMBL626439,P,40,0
CHEMBL626441,P,33,0
CHEMBL626451,A,46,0
CHEMBL626452,P,39,0
CHEMBL629261,A,106,0
CHEMBL632707,P,35,0
CHEMBL632358,P,45,0
CHEMBL632385,P,42,0
CHEMBL637303,P,69,0
CHEMBL638278,A,61,0
CHEMBL638280,A,61,0
CHEMBL635739,P,45,0
CHEMBL635744,P,94,0
CHEMBL633634,A,67,0
CHEMBL633638,P,103,0
CHEMBL635570,P,33,0
CHEMBL883128,P,52,0
CHEMBL632554,P,39,0
CHEMBL639158,P,54,0
CHEMBL876101,P,33,0
CHEMBL639400,P,36,0
CHEMBL633104,A,62,0
CHEMBL633105,A,62,0
CHEMBL634599,A,61,0
CHEMBL634600,A,62,0
CHEMBL633649,A,112,0
CHEMBL634152,A,48,0
CHEMBL631523,P,38,0
CHEMBL631675,P,46,0
CHEMBL631694,P,50,0
CHEMBL631695,P,50,0
CHEMBL875968,P,50,0
CHEMBL632430,P,50,0
CHEMBL632431,P,50,0
CHEMBL632432,P,50,0
CHEMBL635471,P,37,0
CHEMBL635477,P,66,0
CHEMBL635482,P,101,0
CHEMBL635486,P,99,0
CHEMBL635488,P,41,0
CHEMBL633737,P,230,0
CHEMBL633738,P,98,0
CHEMBL633742,P,48,0
CHEMBL634962,A,42,0
CHEMBL634966,P,48,0
CHEMBL632387,P,36,0
CHEMBL632388,P,36,0
CHEMBL632464,P,38,0
CHEMBL632465,P,41,0
CHEMBL632468,P,34,0
CHEMBL631746,P,55,0
CHEMBL839832,P,45,0
CHEMBL635201,P,80,0
CHEMBL858439,P,36,0
CHEMBL875937,P,35,0
CHEMBL633326,P,59,0
CHEMBL876041,P,57,0
CHEMBL635387,P,34,0
CHEMBL858450,P,33,0
CHEMBL634835,A,33,0
CHEMBL633404,P,37,0
CHEMBL633557,P,41,0
CHEMBL636294,A,119,0
CHEMBL636295,A,68,0
CHEMBL633693,A,34,0
CHEMBL633697,P,43,0
CHEMBL839835,P,45,0
CHEMBL637889,P,38,0
CHEMBL637890,P,38,0
CHEMBL640145,P,38,0
CHEMBL640155,P,82,0
CHEMBL636372,P,80,0
CHEMBL633460,A,38,0
CHEMBL642629,A,35,0
CHEMBL633000,P,49,0
CHEMBL641559,A,54,0
CHEMBL638342,A,93,0
CHEMBL638343,A,78,0
CHEMBL633895,P,181,0
CHEMBL632263,P,54,0
CHEMBL633261,P,40,0
CHEMBL632405,P,33,0
CHEMBL875369,P,48,0
CHEMBL875370,P,38,0
CHEMBL634090,P,45,0
CHEMBL639139,A,42,0
CHEMBL635212,P,40,0
CHEMBL635217,P,48,0
CHEMBL636006,A,33,0
CHEMBL637017,P,41,0
CHEMBL639815,P,78,0
CHEMBL636435,P,48,0
CHEMBL638473,P,48,0
CHEMBL638474,P,47,0
CHEMBL634283,P,115,0
CHEMBL875055,P,38,0
CHEMBL633292,P,82,0
CHEMBL635164,P,45,0
CHEMBL635165,P,61,0
CHEMBL635170,P,40,0
CHEMBL635181,P,44,0
CHEMBL636591,A,39,0
CHEMBL633379,A,40,0
CHEMBL636802,P,50,0
CHEMBL636806,P,120,0
CHEMBL875501,P,33,0
CHEMBL642707,P,46,0
CHEMBL636394,A,152,0
CHEMBL632392,A,52,0
CHEMBL635924,P,82,0
CHEMBL635931,P,36,0
CHEMBL637490,P,35,0
CHEMBL646684,P,33,0
CHEMBL646692,P,33,0
CHEMBL639853,A,64,0
CHEMBL639855,A,64,0
CHEMBL638828,A,64,0
CHEMBL638039,A,35,0
CHEMBL644257,P,33,0
CHEMBL646641,P,35,0
CHEMBL646647,P,153,0
CHEMBL644346,P,50,0
CHEMBL644351,P,37,0
CHEMBL638180,P,50,0
CHEMBL638183,P,62,0
CHEMBL640767,P,59,0
CHEMBL640768,P,49,0
CHEMBL637375,P,37,0
CHEMBL637815,P,70,0
CHEMBL637816,P,70,0
CHEMBL640840,P,102,0
CHEMBL640849,P,33,0
CHEMBL641100,P,38,0
CHEMBL645153,P,204,0
CHEMBL874960,P,43,0
CHEMBL637833,P,36,0
CHEMBL637835,A,64,0
CHEMBL637836,B,33,0
CHEMBL633098,A,185,0
CHEMBL633099,A,35,0
CHEMBL633100,A,46,0
CHEMBL632931,A,64,0
CHEMBL639628,P,36,0
CHEMBL641222,B,51,0
CHEMBL641699,B,44,0
CHEMBL645679,B,62,0
CHEMBL644750,B,58,0
CHEMBL646983,B,34,0
CHEMBL646985,B,35,0
CHEMBL651433,F,55,0
CHEMBL655514,F,88,0
CHEMBL655515,F,54,0
CHEMBL657975,B,46,0
CHEMBL665005,B,34,0
CHEMBL672250,F,34,0
CHEMBL675599,F,37,0
CHEMBL675600,F,37,0
CHEMBL675241,B,54,0
CHEMBL678352,B,35,0
CHEMBL873598,B,56,0
CHEMBL679657,B,44,0
CHEMBL681824,F,61,0
CHEMBL681825,F,45,0
CHEMBL681826,F,61,0
CHEMBL681827,F,45,0
CHEMBL678444,B,49,0
CHEMBL681461,B,91,0
CHEMBL680486,F,33,0
CHEMBL677900,F,51,0
CHEMBL680915,B,46,0
CHEMBL682678,F,61,0
CHEMBL682681,F,46,0
CHEMBL682684,F,41,0
CHEMBL680233,F,41,0
CHEMBL680160,B,60,0
CHEMBL680165,B,38,0
CHEMBL683606,F,49,0
CHEMBL685652,F,38,0
CHEMBL691871,A,50,0
CHEMBL694143,F,38,0
CHEMBL693011,F,44,0
CHEMBL698229,F,54,0
CHEMBL698231,F,36,0
CHEMBL698235,F,71,0
CHEMBL699977,B,54,0
CHEMBL697576,F,53,0
CHEMBL700468,F,69,0
CHEMBL700652,B,38,0
CHEMBL702243,F,74,0
CHEMBL702244,F,77,0
CHEMBL704873,F,59,0
CHEMBL700546,F,56,0
CHEMBL702993,F,35,0
CHEMBL872454,F,48,0
CHEMBL709406,F,112,0
CHEMBL709407,F,49,0
CHEMBL707315,F,40,0
CHEMBL713670,A,37,0
CHEMBL717392,B,57,0
CHEMBL717394,B,57,0
CHEMBL716771,B,41,0
CHEMBL731260,F,91,0
CHEMBL747590,B,48,0
CHEMBL744383,B,39,0
CHEMBL747313,F,48,0
CHEMBL755903,B,48,0
CHEMBL873917,B,46,0
CHEMBL756445,F,65,0
CHEMBL756458,F,38,0
CHEMBL756459,F,38,0
CHEMBL857414,F,38,0
CHEMBL765509,F,38,0
CHEMBL756814,F,100,0
CHEMBL759640,F,51,0
CHEMBL763906,F,79,0
CHEMBL763907,F,80,0
