chembl_id,assay_type,molregno_num,confidence_score
CHEMBL617047,F,41,9
CHEMBL619072,F,39,9
CHEMBL619086,F,46,9
CHEMBL619091,F,40,9
CHEMBL618396,B,108,9
CHEMBL858253,B,111,9
CHEMBL618339,F,37,9
CHEMBL633695,B,134,9
CHEMBL633696,B,158,9
CHEMBL641991,F,34,9
CHEMBL642275,B,50,9
CHEMBL642727,B,40,9
CHEMBL641890,B,37,9
CHEMBL642358,B,33,9
CHEMBL644922,B,59,9
CHEMBL644125,B,33,9
CHEMBL639302,B,77,9
CHEMBL639303,B,36,9
CHEMBL639304,B,74,9
CHEMBL637685,B,47,9
CHEMBL637691,B,51,9
CHEMBL637692,B,38,9
CHEMBL645895,B,74,9
CHEMBL645897,B,38,9
CHEMBL645898,B,75,9
CHEMBL646536,B,72,9
CHEMBL646539,B,67,9
CHEMBL646540,B,89,9
CHEMBL643358,B,60,9
CHEMBL643363,B,43,9
CHEMBL638621,B,34,9
CHEMBL638622,B,43,9
CHEMBL646057,B,38,9
CHEMBL645926,B,53,9
CHEMBL644799,B,72,9
CHEMBL644801,B,79,9
CHEMBL646535,B,36,9
CHEMBL643997,B,38,9
CHEMBL649062,B,42,9
CHEMBL649063,B,33,9
CHEMBL641702,B,50,9
CHEMBL641703,B,35,9
CHEMBL641707,B,167,9
CHEMBL641708,B,40,9
CHEMBL646558,B,49,9
CHEMBL646583,B,37,9
CHEMBL636942,B,41,9
CHEMBL640349,B,42,9
CHEMBL640352,B,35,9
CHEMBL640353,B,46,9
CHEMBL645212,B,44,9
CHEMBL636659,F,54,9
CHEMBL636660,F,54,9
CHEMBL636662,F,53,9
CHEMBL636663,F,54,9
CHEMBL646567,B,37,9
CHEMBL649735,B,51,9
CHEMBL649046,F,61,9
CHEMBL645254,B,40,9
CHEMBL645647,B,34,9
CHEMBL643766,B,64,9
CHEMBL644415,B,69,9
CHEMBL648449,B,38,9
CHEMBL644757,A,82,9
CHEMBL650169,B,51,9
CHEMBL652867,B,39,9
CHEMBL652869,B,101,9
CHEMBL652870,B,43,9
CHEMBL652344,F,41,9
CHEMBL650304,B,35,9
CHEMBL652728,F,58,9
CHEMBL648844,B,98,9
CHEMBL648847,F,91,9
CHEMBL648855,B,54,9
CHEMBL650012,B,53,9
CHEMBL651688,B,39,9
CHEMBL650286,B,49,9
CHEMBL651636,B,50,9
CHEMBL653024,B,42,9
CHEMBL653278,B,49,9
CHEMBL653280,B,37,9
CHEMBL656501,B,58,9
CHEMBL656507,B,36,9
CHEMBL653653,B,39,9
CHEMBL653520,B,56,9
CHEMBL653322,F,102,9
CHEMBL653323,F,69,9
CHEMBL653324,F,69,9
CHEMBL658221,B,33,9
CHEMBL657030,B,34,9
CHEMBL666775,B,46,9
CHEMBL660279,B,79,9
CHEMBL875880,B,37,9
CHEMBL658765,B,33,9
CHEMBL658780,B,65,9
CHEMBL659784,B,41,9
CHEMBL661960,B,56,9
CHEMBL661961,B,50,9
CHEMBL664070,B,41,9
CHEMBL666682,B,33,9
CHEMBL663972,B,53,9
CHEMBL665053,B,34,9
CHEMBL664188,B,66,9
CHEMBL858265,B,46,9
CHEMBL660612,B,34,9
CHEMBL665702,B,49,9
CHEMBL665590,B,66,9
CHEMBL664359,B,54,9
CHEMBL661844,B,71,9
CHEMBL661845,B,39,9
CHEMBL663687,B,70,9
CHEMBL666660,B,75,9
CHEMBL669353,B,71,9
CHEMBL668662,B,36,9
CHEMBL668099,B,33,9
CHEMBL668100,B,43,9
CHEMBL668107,B,68,9
CHEMBL668117,B,45,9
CHEMBL668118,B,41,9
CHEMBL669250,B,43,9
CHEMBL667704,B,68,9
CHEMBL668771,B,61,9
CHEMBL668772,B,44,9
CHEMBL668773,B,36,9
CHEMBL667185,B,73,9
CHEMBL667186,B,72,9
CHEMBL857514,B,44,9
CHEMBL667222,B,71,9
CHEMBL668388,B,75,9
CHEMBL858271,B,44,9
CHEMBL875027,B,46,9
CHEMBL665360,B,78,9
CHEMBL667000,B,57,9
CHEMBL667001,B,43,9
CHEMBL667002,B,40,9
CHEMBL672892,F,47,9
CHEMBL672893,F,48,9
CHEMBL880003,F,39,9
CHEMBL671826,F,39,9
CHEMBL671388,B,56,9
CHEMBL678205,F,34,9
CHEMBL678206,F,35,9
CHEMBL678207,F,33,9
CHEMBL678209,F,39,9
CHEMBL680022,F,46,9
CHEMBL680373,B,42,9
CHEMBL682773,B,37,9
CHEMBL682775,B,34,9
CHEMBL684008,F,38,9
CHEMBL689225,F,42,9
CHEMBL684647,F,39,9
CHEMBL686663,F,55,9
CHEMBL685900,F,90,9
CHEMBL684614,F,33,9
CHEMBL685390,F,33,9
CHEMBL687228,F,37,9
CHEMBL689636,B,41,9
CHEMBL690787,F,53,9
CHEMBL690789,F,54,9
CHEMBL690791,F,51,9
CHEMBL880032,F,48,9
CHEMBL693947,F,35,9
CHEMBL693985,B,33,9
CHEMBL693824,B,65,9
CHEMBL883998,F,35,9
CHEMBL694570,F,39,9
CHEMBL695719,F,52,9
CHEMBL692778,F,37,9
CHEMBL693177,B,48,9
CHEMBL878311,F,36,9
CHEMBL697605,F,58,9
CHEMBL701178,B,39,9
CHEMBL701181,B,43,9
CHEMBL701186,B,61,9
CHEMBL701718,B,54,9
CHEMBL700695,B,58,9
CHEMBL700696,B,58,9
CHEMBL872048,B,37,9
CHEMBL857173,B,47,9
CHEMBL701802,B,78,9
CHEMBL701803,B,76,9
CHEMBL702329,F,35,9
CHEMBL702337,F,96,9
CHEMBL701680,F,57,9
CHEMBL702491,F,39,9
CHEMBL699908,F,40,9
CHEMBL701114,B,38,9
CHEMBL701116,F,67,9
CHEMBL701285,B,38,9
CHEMBL699303,B,39,9
CHEMBL699308,B,61,9
CHEMBL697789,B,37,9
CHEMBL701792,B,35,9
CHEMBL699508,B,37,9
CHEMBL699510,B,35,9
CHEMBL705534,F,64,9
CHEMBL700076,B,33,9
CHEMBL706269,B,51,9
CHEMBL711839,B,38,9
CHEMBL708734,F,47,9
CHEMBL710617,F,62,9
CHEMBL716764,F,66,9
CHEMBL714209,F,62,9
CHEMBL718944,B,39,9
CHEMBL744329,F,81,9
CHEMBL743824,B,83,9
CHEMBL743825,B,39,9
CHEMBL744060,F,41,9
CHEMBL745569,B,44,9
CHEMBL746727,B,58,9
CHEMBL748035,B,37,9
CHEMBL750215,B,37,9
CHEMBL744938,F,43,9
CHEMBL751815,B,84,9
CHEMBL751827,B,37,9
CHEMBL873908,B,40,9
CHEMBL750250,B,47,9
CHEMBL755110,B,40,9
CHEMBL755532,B,42,9
CHEMBL748784,B,42,9
CHEMBL755953,B,37,9
CHEMBL755960,B,33,9
CHEMBL753517,B,33,9
CHEMBL751217,B,52,9
CHEMBL752150,B,45,9
CHEMBL755943,B,43,9
CHEMBL755944,B,43,9
CHEMBL759288,B,37,9
CHEMBL754735,B,33,9
CHEMBL882417,B,52,9
CHEMBL760443,F,66,9
CHEMBL761056,B,48,9
CHEMBL762383,B,37,9
CHEMBL762799,B,39,9
CHEMBL758982,F,46,9
CHEMBL757895,B,34,9
CHEMBL763666,B,39,9
CHEMBL764349,F,41,9
CHEMBL764832,B,51,9
CHEMBL765007,B,107,9
CHEMBL764920,B,38,9
CHEMBL763303,B,118,9
CHEMBL763316,B,35,9
CHEMBL763388,B,52,9
CHEMBL763398,B,37,9
CHEMBL763404,B,47,9
CHEMBL765171,B,53,9
CHEMBL879332,B,47,9
CHEMBL767669,F,57,9
CHEMBL768618,B,39,9
CHEMBL768619,B,39,9
CHEMBL877854,B,49,9
CHEMBL768257,B,77,9
CHEMBL768258,B,37,9
CHEMBL768259,B,60,9
CHEMBL766814,B,67,9
CHEMBL764418,B,50,9
CHEMBL763754,B,40,9
CHEMBL763922,B,46,9
CHEMBL763923,B,35,9
CHEMBL769512,B,67,9
CHEMBL764258,B,49,9
CHEMBL764260,B,45,9
CHEMBL764263,B,76,9
CHEMBL766054,B,59,9
CHEMBL766055,B,37,9
CHEMBL763332,B,33,9
CHEMBL769360,B,34,9
CHEMBL769364,B,78,9
CHEMBL878535,B,46,9
CHEMBL764159,B,50,9
CHEMBL873459,B,50,9
CHEMBL766799,B,33,9
CHEMBL769246,B,57,9
CHEMBL878769,B,36,9
CHEMBL760091,B,43,9
CHEMBL767349,B,45,9
CHEMBL761820,B,158,9
CHEMBL763200,B,48,9
CHEMBL857614,B,39,9
CHEMBL769060,B,48,9
CHEMBL769064,B,43,9
CHEMBL776624,F,49,9
CHEMBL777667,F,62,9
CHEMBL782100,F,35,9
CHEMBL787759,F,35,9
CHEMBL781694,F,40,9
CHEMBL782596,F,65,9
CHEMBL785239,F,34,9
CHEMBL784303,F,33,9
CHEMBL788925,F,69,9
CHEMBL792283,F,69,9
CHEMBL795342,F,41,9
CHEMBL798774,F,55,9
CHEMBL800886,F,51,9
CHEMBL800887,F,51,9
CHEMBL800376,F,58,9
CHEMBL798353,B,38,9
CHEMBL797524,B,65,9
CHEMBL797532,B,72,9
CHEMBL798389,B,50,9
CHEMBL800926,B,38,9
CHEMBL800928,B,39,9
CHEMBL802758,B,39,9
CHEMBL802759,B,122,9
CHEMBL802761,B,47,9
CHEMBL802762,B,34,9
CHEMBL802597,B,41,9
CHEMBL802599,B,68,9
CHEMBL802600,B,51,9
CHEMBL802601,B,34,9
CHEMBL802403,B,37,9
CHEMBL802411,B,56,9
CHEMBL802412,B,40,9
CHEMBL800582,B,70,9
CHEMBL800589,B,68,9
CHEMBL800982,B,33,9
CHEMBL800043,B,34,9
CHEMBL800744,B,59,9
CHEMBL800600,B,47,9
CHEMBL800601,B,47,9
CHEMBL800602,B,47,9
CHEMBL799150,B,34,9
CHEMBL800647,B,74,9
CHEMBL798029,B,121,9
CHEMBL798038,B,55,9
CHEMBL798040,B,56,9
CHEMBL798041,B,60,9
CHEMBL800538,B,49,9
CHEMBL801332,B,42,9
CHEMBL801334,B,85,9
CHEMBL803376,B,262,9
CHEMBL804270,B,91,9
CHEMBL803437,F,33,9
CHEMBL804532,B,61,9
CHEMBL812229,F,38,9
CHEMBL812234,B,47,9
CHEMBL812414,B,33,9
CHEMBL810909,F,48,9
CHEMBL813764,B,33,9
CHEMBL813765,B,33,9
CHEMBL813766,B,40,9
CHEMBL813767,B,41,9
CHEMBL812308,B,71,9
CHEMBL814718,B,37,9
CHEMBL840511,B,35,9
CHEMBL812446,B,77,9
CHEMBL812106,B,33,9
CHEMBL811879,B,51,9
CHEMBL817698,B,44,9
CHEMBL818251,B,68,9
CHEMBL817573,B,37,9
CHEMBL815753,B,34,9
CHEMBL815758,B,34,9
CHEMBL821446,B,88,9
CHEMBL814340,B,36,9
CHEMBL858615,B,36,9
CHEMBL881134,B,43,9
CHEMBL841411,F,45,9
CHEMBL824008,B,34,9
CHEMBL843053,F,33,9
CHEMBL848494,F,75,9
CHEMBL850948,B,36,9
CHEMBL839349,F,44,9
CHEMBL875189,B,107,9
CHEMBL827063,B,44,9
CHEMBL828903,B,45,9
CHEMBL828906,B,45,9
CHEMBL828910,B,33,9
CHEMBL828917,B,41,9
CHEMBL828932,B,33,9
CHEMBL830339,B,33,9
CHEMBL829640,B,34,9
CHEMBL828815,B,34,9
CHEMBL826331,B,48,9
CHEMBL828215,B,66,9
CHEMBL827377,B,91,9
CHEMBL838818,B,64,9
CHEMBL839940,B,92,9
CHEMBL839943,B,40,9
CHEMBL839581,A,60,9
CHEMBL839584,B,37,9
CHEMBL838683,B,38,9
CHEMBL838684,B,38,9
CHEMBL838700,B,65,9
CHEMBL838701,B,123,9
CHEMBL838621,B,33,9
CHEMBL827890,B,55,9
CHEMBL827891,B,37,9
CHEMBL828777,B,37,9
CHEMBL828778,B,37,9
CHEMBL828792,B,33,9
CHEMBL830370,B,33,9
CHEMBL841787,B,122,9
CHEMBL829432,B,45,9
CHEMBL828879,B,43,9
CHEMBL829615,B,39,9
CHEMBL829622,B,44,9
CHEMBL829979,B,33,9
CHEMBL829676,B,38,9
CHEMBL829680,B,39,9
CHEMBL829684,B,43,9
CHEMBL829819,B,33,9
CHEMBL829841,B,61,9
CHEMBL826377,B,33,9
CHEMBL826384,B,76,9
CHEMBL826385,B,52,9
CHEMBL828255,B,61,9
CHEMBL828256,B,61,9
CHEMBL828276,B,56,9
CHEMBL828284,B,61,9
CHEMBL840030,B,39,9
CHEMBL840033,B,43,9
CHEMBL839668,B,38,9
CHEMBL839684,B,61,9
CHEMBL839693,B,86,9
CHEMBL839716,B,36,9
CHEMBL839720,B,61,9
CHEMBL839639,B,36,9
CHEMBL828952,B,71,9
CHEMBL828954,B,49,9
CHEMBL828963,B,91,9
CHEMBL828966,B,39,9
CHEMBL828835,B,39,9
CHEMBL828848,B,86,9
CHEMBL829001,B,37,9
CHEMBL830434,B,49,9
CHEMBL829736,B,44,9
CHEMBL829057,B,34,9
CHEMBL829782,B,35,9
CHEMBL829792,B,43,9
CHEMBL829798,B,37,9
CHEMBL829988,B,34,9
CHEMBL827246,B,33,9
CHEMBL877109,B,69,9
CHEMBL840097,B,46,9
CHEMBL840208,B,35,9
CHEMBL840214,B,84,9
CHEMBL840215,B,52,9
CHEMBL840216,B,100,9
CHEMBL877110,B,70,9
CHEMBL840221,B,85,9
CHEMBL852183,B,41,9
CHEMBL839075,B,48,9
CHEMBL829870,F,37,9
CHEMBL829879,B,55,9
CHEMBL829880,B,55,9
CHEMBL839760,B,54,9
CHEMBL832552,B,49,9
CHEMBL830221,F,55,9
CHEMBL830222,F,55,9
CHEMBL827874,B,40,9
CHEMBL827157,B,39,9
CHEMBL840832,B,39,9
CHEMBL829336,B,39,9
CHEMBL829246,B,39,9
CHEMBL826961,B,87,9
CHEMBL826967,B,34,9
CHEMBL829309,B,59,9
CHEMBL831692,B,35,9
CHEMBL832697,B,53,9
CHEMBL832700,B,46,9
CHEMBL832423,B,36,9
CHEMBL832424,B,34,9
CHEMBL832433,B,41,9
CHEMBL832604,B,46,9
CHEMBL832763,B,69,9
CHEMBL832766,B,36,9
CHEMBL832767,B,36,9
CHEMBL832778,B,49,9
CHEMBL832779,B,49,9
CHEMBL832458,B,52,9
CHEMBL833507,B,36,9
CHEMBL832816,A,48,9
CHEMBL832818,A,48,9
CHEMBL832832,B,68,9
CHEMBL831703,B,40,9
CHEMBL831705,B,42,9
CHEMBL833544,B,34,9
CHEMBL833055,B,36,9
CHEMBL830921,A,52,9
CHEMBL830123,B,37,9
CHEMBL830957,B,177,9
CHEMBL831099,B,64,9
CHEMBL831116,F,33,9
CHEMBL827656,B,38,9
CHEMBL828554,B,38,9
CHEMBL827163,B,55,9
CHEMBL874429,B,48,9
CHEMBL828662,B,177,9
CHEMBL829508,B,50,9
CHEMBL829509,B,48,9
CHEMBL829510,B,50,9
CHEMBL829511,B,50,9
CHEMBL827936,B,39,9
CHEMBL829401,B,177,9
CHEMBL829417,B,45,9
CHEMBL827974,B,84,9
CHEMBL829572,B,49,9
CHEMBL874544,B,37,9
CHEMBL829589,B,35,9
CHEMBL829592,B,38,9
CHEMBL831909,B,49,9
CHEMBL831910,B,46,9
CHEMBL832902,B,35,9
CHEMBL831965,B,41,9
CHEMBL832148,A,36,9
CHEMBL833529,B,33,9
CHEMBL830069,B,49,9
CHEMBL832347,B,46,9
CHEMBL830970,B,52,9
CHEMBL830976,B,50,9
CHEMBL830164,B,33,9
CHEMBL831129,B,52,9
CHEMBL831137,B,70,9
CHEMBL831155,B,70,9
CHEMBL827707,B,52,9
CHEMBL828658,B,51,9
CHEMBL829165,B,41,9
CHEMBL828726,B,40,9
CHEMBL829083,B,47,9
CHEMBL829091,B,108,9
CHEMBL829540,B,107,9
CHEMBL827995,B,50,9
CHEMBL827822,B,58,9
CHEMBL828294,B,59,9
CHEMBL828296,B,59,9
CHEMBL832920,B,45,9
CHEMBL832929,B,42,9
CHEMBL832934,B,58,9
CHEMBL832944,B,38,9
CHEMBL829908,B,49,9
CHEMBL829069,B,45,9
CHEMBL829070,B,49,9
CHEMBL829071,B,45,9
CHEMBL829072,B,49,9
CHEMBL829073,B,45,9
CHEMBL829074,B,49,9
CHEMBL829075,B,45,9
CHEMBL829076,B,49,9
CHEMBL829077,B,45,9
CHEMBL829923,B,47,9
CHEMBL832268,B,63,9
CHEMBL832272,B,36,9
CHEMBL830012,B,64,9
CHEMBL830856,B,40,9
CHEMBL833036,B,36,9
CHEMBL832302,B,47,9
CHEMBL832322,B,55,9
CHEMBL832324,B,38,9
CHEMBL832326,B,57,9
CHEMBL830074,B,67,9
CHEMBL830897,B,48,9
CHEMBL832655,B,41,9
CHEMBL831532,B,63,9
CHEMBL831708,B,64,9
CHEMBL828695,B,64,9
CHEMBL828697,B,35,9
CHEMBL828351,B,52,9
CHEMBL828699,B,34,9
CHEMBL829265,B,33,9
CHEMBL829267,B,51,9
CHEMBL828400,B,42,9
CHEMBL828401,B,41,9
CHEMBL828402,B,42,9
CHEMBL828404,B,42,9
CHEMBL829157,B,55,9
CHEMBL830838,B,177,9
CHEMBL830839,B,177,9
CHEMBL830842,B,177,9
CHEMBL830843,B,36,9
CHEMBL830844,B,38,9
CHEMBL875561,B,54,9
CHEMBL831653,B,42,9
CHEMBL835062,B,44,9
CHEMBL836230,A,58,9
CHEMBL836241,B,95,9
CHEMBL831280,B,50,9
CHEMBL830592,B,50,9
CHEMBL829811,B,50,9
CHEMBL831995,B,50,9
CHEMBL831996,B,50,9
CHEMBL832005,B,50,9
CHEMBL832006,B,50,9
CHEMBL832021,B,49,9
CHEMBL832022,B,49,9
CHEMBL832023,B,50,9
CHEMBL830639,B,50,9
CHEMBL830657,B,50,9
CHEMBL832048,B,38,9
CHEMBL832054,B,50,9
CHEMBL831627,B,40,9
CHEMBL835415,B,42,9
CHEMBL835420,B,44,9
CHEMBL834831,B,42,9
CHEMBL836216,B,65,9
CHEMBL830569,B,44,9
CHEMBL830570,B,44,9
CHEMBL834997,B,37,9
CHEMBL834998,B,37,9
CHEMBL834999,B,37,9
CHEMBL834081,F,36,9
CHEMBL834127,F,36,9
CHEMBL834549,F,34,9
CHEMBL835454,F,33,9
CHEMBL824823,F,46,9
CHEMBL824824,F,46,9
CHEMBL824825,F,46,9
CHEMBL833105,F,48,9
CHEMBL834412,F,37,9
CHEMBL834422,F,36,9
